"Report ID","Category of Incident","Country of Incident","Date of Incident","Subject","Primary Source","Source Type","Additional Sources","Name of Organisation Providing Information","Transport Mode","Where Found","Method of Concealment","Method of Concealment - Details","Detection","Outcome","Number of People Charged","Number of People Fined","Number of People Imprisoned","Amount of Fine","Currency of Fine","Fine in USD","Length of Imprisonment","Unit of Time"
"MOR28488","1. Seizure","Kenya","2019-05-16 00:00:00","8.5kg raw ivory seized in Kilifi - 2 arrested","http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_25.pdf","NGO","","","","","","","","Confiscation & arrest","","","","","","","",""
"MOR28613","2. Poaching / Illegal Harvesting","Kenya","2019-06-30 00:00:00","Rhino killed in the Lake Nakuru National Park, suspected corruption","https://www.standardmedia.co.ke/article/2001332339/lake-nakuru-rhino-poaching-might-have-been-inside-job","Media","","","","","","","","Investigation ongoing","","","","","","","",""
"MOR28649","1. Seizure","Kenya","2018-12-01 00:00:00","10kg of elephant tusks seized in Kibwezi, two suspects arrested","https://citizentv.co.ke/news/two-arrested-with-ksh-2m-elephant-tusks-in-kibwezi-223122/","Media","","World Customs Organization (WCO)","","","","","","Confiscation & arrest","","","","","","","",""
"MOR28663","1. Seizure","Kenya","2019-12-12 00:00:00","4kg tusk seized in Kiungu village, 2 charged","https://www.the-star.co.ke/counties/eastern/2019-12-22-man-possessing-elephant-tusk-jailed-for-five-years/","Media","","EIA","","","","","Intelligence","Conviction - imprisonment","2","","1","","","","5","Years"
"MOR28664","1. Seizure","Kenya","2019-12-12 00:00:00","10 ivory pieces (73kg) seized in Samburu, Kwale, 2 arrested","http://www.xinhuanet.com/english/2019-12/13/c_138629246.htm","Media","","EIA","","","","","Intelligence","Confiscation & arrest","","","","","","","",""
"MOR28723","1. Seizure","Kenya","2020-04-30 00:00:00","2 tusks seized at Embu - 2 arrested","https://www.youtube.com/watch?v=k07a7Ls3JxY","Media","","","","In Premises (either domestic or business)","","","Investigation","Confiscation & arrest","","","","","","","",""
"MOR28748","1. Seizure","Kenya","2018-08-01 00:00:00","6 ivory pieces seized from residence in Naivasha, 1 arrested","https://citizentv.co.ke/news/man-arrested-over-rhino-killing-at-lake-nakuru-national-park-209171/","Media","","EIA","","In Premises (either domestic or business)","","","Intelligence","Confiscation & arrest","","","","","","","",""
"MOR28779","1. Seizure","Kenya","2020-05-16 00:00:00","3 ivory pieces (38.6 kg) seized in Laikipia - 2 suspects arrested","https://africanelephantjournal.com/two-nabbed-with-game-trophies-as-kws-decries-increased-poaching-cases-kenya/","Media","","","Land - Vehicle","Inside Vehicle","Other","The items where found in a sack","Intelligence","Confiscation & arrest","","","","","","","",""
"MOR28780","1. Seizure","Kenya","2020-05-09 00:00:00","9 tusks (50 kg) seized in Marina, Laikipia County - 3 arrested","https://africanelephantjournal.com/three-nabbed-in-laikipia-while-trying-to-sell-elephant-tusks-kenya/","Media","","","Land - Vehicle","Inside Vehicle","","","Investigation","Confiscation & arrest","","","","","","","",""
"MOR28788","1. Seizure","Kenya","2018-10-19 00:00:00","tusk seized in Laikipia county - 1 convicted","https://www.nation.co.ke/counties/laikipia/Man-possessing-elephant-tusk-jailed-for-five-years-/1183290-5559912-n5yghcz/index.html","Media","","","","","","","","Conviction - imprisonment","1","","1","","","","5","Years"
"MOR28842","1. Seizure","Kenya","2020-05-29 00:00:00","Dead full-grown giraffe and zebra seized, 2 arrested in Kirumbi Area, Voi Sub-County, Kenya","https://www.kenyanews.go.ke/two-suspected-poachers-arrested-carrying-giraffe-and-zebra-carcasses/","Media","","","Land - Vehicle","Inside Vehicle","","The seized dead giraffe and zebra were concealed inside the container of a trailer belonging to Mombasa Cement Company.","Intelligence","Charged - No further details","2","","","","","","",""
"MOR28930","1. Seizure","Kenya","2020-06-14 00:00:00","150 kg giraffe meat, 4 dikdik carcasses & 2 Lesser kudu carcasses seized in Garissa County - 4 arrested","https://www.the-star.co.ke/news/2020-06-14-four-suspected-poachers-arrested-with-150kg-of-giraffe-meat-in-garissa/","Media","https://www.nation.co.ke/kenya/counties/garissa/suspected-giraffe-poachers-to-face-court-663670
https://twitter.com/kwskenya/status/1272222013663428615/photo/1","","Land - Vehicle","In Personal Baggage","","The bushmeat was hidden in green sacks","Operation","Charged - No further details","4","","","","","","",""
"MOR29030","1. Seizure","Kenya","2018-01-01 00:00:00","4 ivory pieces (5kg) seized in Murera, Meru County - 3 convicted","http://www.kws.go.ke/content/three-fined-sh-3-million-illegal-possession-ivory","Media","","EIA","","On Person","","tusks in a white sack","","Conviction - court fine","3","3","","3000000","KES Kenyan Shilling","29641.900390625","",""
"MOR29031","1. Seizure","Kenya","2018-05-15 00:00:00","12kg ivory seized in Voi, Taita-Taveta - 1 arrest","http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_21.pdf","NGO","","EIA","","","","","","Confiscation & arrest","","","","","","","",""
"MOR29032","1. Seizure","Kenya","2018-08-22 00:00:00","21 kg ivory seized in Olkuruto, Narok - 1 arrest","http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_22.pdf","NGO","","EIA","","","","","","Confiscation & arrest","","","","","","","",""
"MOR29033","1. Seizure","Kenya","2018-11-06 00:00:00","4 ivory pieces (13kg) seized in Nakuru - 2 convicted","https://www.nation.co.ke/counties/nakuru/Two-charged-with-having-Sh2-6m-elephant-tusks-/1183314-4840794-xgmqqtz/index.html","Media","","EIA","","","","","","Charged - Bail granted","2","","","","","","",""
"MOR29076","1. Seizure","Kenya","2018-11-23 00:00:00","tusks seized in Mathira, Nyeri County - 1 arrested","https://www.nation.co.ke/counties/nyeri/Two-arrested-for-having-elephant-tusks/1954190-4867358-f44p60/index.html","Media","","","","","","","","Confiscation & arrest","","","","","","","",""
